Стая,Период,Цена
Двойна стая,01.01.2024-31.05.2024,208
Студио,01.01.2024-31.05.2024,302
Апартамент,01.01.2024-31.05.2024,337
Двойна стая,01.06.2024-30.11.2024,254
Студио,01.06.2024-30.11.2024,368
Апартамент,01.06.2024-30.11.2024,411
