Стая,Период,Цена
Единична стая за 1 възрастен,01.01.2024-31.05.2024,230
Двойна стая за 2-ма възрастни,01.01.2024-31.05.2024,250
Студио за 2-ма възрастни,01.01.2024-31.05.2024,330
Единична стая за 1 възрастен,01.06.2024-30.11.2024,245
Двойна стая за 2-ма възрастни,01.06.2024-30.11.2024,265
Студио за 2-ма възрастни,01.06.2024-30.11.2024,345
